"SCN","Description","Start Lat","Start Long","End Lat","End Long"
"N06221R","Midland St approach at junction of Ashton Old Rd/Midland St, Manchester.","53.4743493236565","-2.21444232422865","53.4750592427578","-2.21426237431873"
"N06222H","Pin Mill Brow approach at junction of Ashton Old Rd/Chancellor Ln, Manchester.","53.4760590786941","-2.21752202261342","53.4754791554371","-2.21692207147748"
"N06222J","Ashton Old Rd westbound right turn approach at junction of Ashton Old Rd/Chancellor Ln, Manchester.","53.4751992071831","-2.21560221889193","53.4752191929921","-2.21643211994529"
"N06222K","Ashton Old Rd westbound approach at junction of Ashton Old Rd/Chancellor Ln, Manchester.","53.4751392309277","-2.21443235709523","53.475169199298","-2.21640212154678"
"N06222L","Chancellor Ln approach at junction of Ashton Old Rd/Chancellor Ln, Manchester.","53.4743592923813","-2.21655207105837","53.47512919858","-2.2167820742758"
"N06222M","Fairfield St eastbound approach at junction of Ashton Old Rd/Chancellor Ln, Manchester.","53.4754091338568","-2.21901181749566","53.4753391683295","-2.2171720358219"
"N06241A","Pin Mill Brow approach at junction of Mancunian Way Extn/Pin Mill Brow,169&169a,Manchester.","53.4754391579999","-2.21707205184746","53.4760490761612","-2.21778199096539"
"N06241B","Mancunian Way Extension approach at junction of Mancunian Way Extn/Pin Mill Brow,169&169a,Manchester","53.4755191140796","-2.21949176421651","53.4762090509332","-2.21823194329543"
"N06241Y","Gt Ancoats St right turn approach at junction of Mancunian Way Extn/Pin Mill Brow,169&169a,Mancheste","53.4778288614828","-2.21816201663272","53.476419032236","-2.21781200218805"
"N06242Z","Gt Ancoats St left approach at junction of Mancunian Way Extn/Pin Mill Brow,169&169a,Manchester.","53.4778388615908","-2.21807202785035","53.4762690522948","-2.21764201660763"
"N06251M","Gt Ancoats St southeast bound approach at junction of Gt Ancoats St/Pollard St, Manchester.","","","",""
"N06251T","GT Ancoats St southeast bound approach at junction of Gt Ancoats St/Every St, Manchester.","53.4788586919046","-2.22156164926603","53.4781288158024","-2.21889194091911"
"N06251V","Every St approach at junction of Gt Ancoats St/Every St, Manchester.","53.4785387820076","-2.2178820787422","53.4781888167358","-2.21833201062925"
"N06251W","GT Ancoats St northbound right turn approach at junction of Gt Ancoats St/Every St, Manchester.","53.4765690121772","-2.21798198776837","53.477898849973","-2.21839199179515"
"N06251X","GT Ancoats St northbound approach at junction of Gt Ancoats St/Every St, Manchester.","53.4765390144203","-2.21807197574957","53.4778688523588","-2.21847198097781"
"N06252D","Every St northeast bound approach at junction of Every Street/Ancoats Grove, Ancoats, Manchester","53.4782588060818","-2.21850199300276","53.4786187708911","-2.218002067526"
"N06252E","Residence Exit approach at junction of Every Street/Ancoats Grove, Ancoats, Manchester","53.4789787218649","-2.21847202546586","53.4787487561785","-2.21796207754415"
"N06252F","Every St southwest bound approach at junction of Every Street/Ancoats Grove, Ancoats, Manchester","53.4792587080609","-2.21713219774448","53.4787487596018","-2.21772210638965"
"N06261V","A664 Shudehill SWbound at Junction with Hanover St","53.4860676361544","-2.23616018308986","53.4856476729976","-2.23704006047772"
"N06261Y","A664 Shudehill NEbound at Junction with Hanover St","53.4851177189282","-2.23818990100445","53.485587676348","-2.23730002681819"
"N06261Z","Hanover St NEbound at Junction with Shudehill","53.4858876333847","-2.23783997391235","53.485727659176","-2.23735002641324"
"N06271G","Gt Ancoats St southeast bound approach at junction of Gt Ancoats St/Old Mill St, Manchester.","53.4815183084662","-2.22652115966975","53.4808484140365","-2.22464135880261"
"N06271H","Old Mill St approach at junction of Gt Ancoats St/Old Mill St, Manchester.","53.481508363249","-2.22276161122449","53.4808184226961","-2.22428140087217"
"N06271K","Gt Ancoats St northwest bound approach at junction of Gt Ancoats St/Old Mill St, Manchester.","53.4794785994803","-2.22293150944522","53.480568448808","-2.22451136320956"
"N06271L","Store St approach at junction of Gt Ancoats St/Old Mill St, Manchester.","53.4800284872018","-2.22627113002676","53.4806384374419","-2.22473133957062"
"N06281P","Pollard St approach at junction of Gt Ancoats St/Pollard St, Manchester.","53.480258544001","-2.22039184599726","53.4794686083557","-2.22239157394934"
"N06281R","Gt Ancoats St northwest bound approach at junction of Gt Ancoats St/Pollard St, Manchester.","53.4779788328662","-2.21893193010001","53.4788286932925","-2.22171163003513"
"N06281S","Adair St approach at junction of Gt Ancoats St/Pollard St, Manchester.","53.4782887389526","-2.2229614581589","53.4789086804651","-2.22195160439472"
"N06291B","Gt Ancoats St southeast bound approach at junction of Gt Ancoats St/Laystall St, Manchester.","53.482218204218","-2.22806100260041","53.4816582875879","-2.22683112801597"
"N06291E","Gt Ancoats St northwest bound approach at junction of Gt Ancoats St/Laystall St, Manchester.","53.4807984173485","-2.22482133516343","53.4814283154833","-2.2267711260136"
"N06291F","Laystall St approach at junction of Gt Ancoats St/Laystall St, Manchester.","53.4811083332908","-2.22816094611394","53.4814883050082","-2.2270110995689"
"N06311A","Dantzic St approach at junction of Miller Street/Dantzic Street, Manchester","","","",""
"N06311G","Miller St northwest bound approach at junction of Miller Street/Dantzic Street, Manchester","","","",""
"N06311Z","Miller St southeast bound approach at junction of Miller Street/Dantzic Street, Manchester","","","",""
"N06321B","Cheetham Hill Rd approach at junction of Corporation St/Miller St, Manchester.","53.4893471754533","-2.24142968084296","53.488007350661","-2.24018977627382"
"N06321C","Corporation st southwest bound approach at junction of Corporation St/Miller St, Manchester.","53.4881873410349","-2.23937988086551","53.487827376809","-2.23983981114596"
"N06321D","Miller St northwest bound approach at junction of Corporation St/Miller St, Manchester.","53.4871874685773","-2.23867992498074","53.4875574089807","-2.23980980394178"
"N06321E","Corporation st northeast bound approach at junction of Corporation St/Miller St, Manchester.","53.4873474234162","-2.24052970897104","53.4876373917415","-2.24035974102059"
"N06331A","Cheetham Hill Rd northwest bound left trun approach at junction of Cheetham Hill Rd/Trinity Way, Man","53.4888672348792","-2.24121968687242","53.4892271855745","-2.24170964237335"
"N06331J","New Bridge St right turn approach at junction of Cheetham Hill Rd/Trinity Way, Manchester.","53.4891071780378","-2.24322945481661","53.4893971615995","-2.241989615515"
"N06331W","New Bridge St left turn approach at junction of Cheetham Hill Rd/Trinity Way, Manchester.","53.4892471675583","-2.24280951091901","53.4894771506271","-2.24209960549251"
"N06331X","Cheetham Hill Rd southbound right turn approach at junction of Cheetham Hill Rd/Trinity Way, Manches","53.4901070838186","-2.24158969203659","53.4895971424996","-2.24167966079488"
"N06331Y","Cheetham Hill Rd southbound approach at junction of Cheetham Hill Rd/Trinity Way, Manchester.","53.4904870422737","-2.24136973370418","53.4896071430328","-2.2415596756232"
"N06331Z","Cheetham Hill Rd northwest bound approach at junction of Cheetham Hill Rd/Trinity Way, Manchester.","53.4879973501277","-2.24030976144614","53.4892871798018","-2.24161965559655"
"N06341K","New Bridge St northeast right turn bound approach at junction of Trinity Way/Dutton St/Nynex Arena,","53.4886972057389","-2.2446692652698","53.4889871874476","-2.24355941033604"
"N06341S","New Bridge St northeast bound approach at junction of Trinity Way/Dutton St/Nynex Arena, Manchester.","53.4885672084943","-2.24554915426236","53.4890271823175","-2.2435894083304"
"N06341T","New Bridge St southwest bound approach at junction of Trinity Way/Dutton St/Nynex Arena, Manchester.","53.4892771735722","-2.24213959267561","53.48902718901","-2.24311946483937"
"N06351L","Trinity way approach at junction of Gt Ducie St/Trinity Way, Manchester.","53.4880371957924","-2.25081849942871","53.4884772099643","-2.24618907371178"
"N06351M","Gt Ducie St approach at junction of Gt Ducie St/Trinity Way, Manchester.","53.4894870865165","-2.24651907446014","53.488697187942","-2.24591911497992"
"N06351P","New Bridge St approach at junction of Gt Ducie St/Trinity Way, Manchester.","53.4889171961049","-2.24352941114068","53.4884872206052","-2.24535917390422"
"N06351R","Victoria St approach at junction of Gt Ducie St/Trinity Way, Manchester.","53.4870573961381","-2.24483917918654","53.4882572435183","-2.24564912983121"
"N06381R","A665 Cheetham Hill Rd Southbound at Junction with Broughton St","53.4971163170152","-2.23756045740441","53.4955064927811","-2.23851027866033"
"N06381S","Broughton Rd Westbound at Junction with Cheetham Hill Rd","53.4952465364575","-2.23759037887117","53.4954265031845","-2.23844028387263"
"N06381U","Broughton Rd Eastbound at Junction with Cheetham Hill Rd","53.495646464212","-2.23936018205797","53.495526487723","-2.23870025661448"
"N06411H","Trinity Way northeast bound approach at junction of Trinity Way/Springfield Ln, Salford.","53.4870072810329","-2.25333815523858","53.4878972054217","-2.25129843611569"
"N06411J","Springfield Ln approach at junction of Trinity Way/Springfield Ln, Salford.","53.4885171342334","-2.25117847534949","53.4880771871046","-2.25109846736387"
"N06411K","Trinity Way westbound approach at junction of Trinity Way/Springfield Ln, Salford.","53.4883972220751","-2.24599909335382","53.48795720591","-2.25076850223954"
"N06421A","Trinity Way northeast bound right turn approach at junction of Trinity Way/Blackfriars Rd, Salford.","53.4864173371689","-2.25426801982505","53.4867073108981","-2.25371809755098"
"N06421B","Trinity Way northeast bound approach at junction of Trinity Way/Blackfriars Rd, Salford.","53.4855774172928","-2.25557782873032","53.4867473049146","-2.25380808833017"
"N06421D","Blackfriars Rd southeast bound approach at junction of Trinity Way/Blackfriars Rd, Salford.","53.4877971609734","-2.2552479571929","53.4869272850318","-2.25371810635075"
